,support,itemsets,length
134,0.2,"frozenset({'ice cream', 'kidney beans', 'eggs', 'onion', 'corn'})",5
135,0.2,"frozenset({'unicorn', 'yogurt', 'kidney beans', 'milk', 'corn'})",5
136,0.2,"frozenset({'kidney beans', 'eggs', 'onion', 'dill', 'nutmeg'})",5
137,0.2,"frozenset({'yogurt', 'kidney beans', 'eggs', 'dill', 'nutmeg'})",5
138,0.2,"frozenset({'yogurt', 'kidney beans', 'eggs', 'onion', 'dill'})",5
139,0.2,"frozenset({'yogurt', 'eggs', 'onion', 'dill', 'nutmeg'})",5
140,0.2,"frozenset({'yogurt', 'kidney beans', 'onion', 'dill', 'nutmeg'})",5
141,0.2,"frozenset({'kidney beans', 'milk', 'onion', 'eggs', 'nutmeg'})",5
142,0.2,"frozenset({'yogurt', 'kidney beans', 'milk', 'eggs', 'nutmeg'})",5
143,0.2,"frozenset({'yogurt', 'kidney beans', 'milk', 'onion', 'eggs'})",5
144,0.4,"frozenset({'yogurt', 'kidney beans', 'eggs', 'onion', 'nutmeg'})",5
145,0.2,"frozenset({'yogurt', 'milk', 'onion', 'eggs', 'nutmeg'})",5
146,0.2,"frozenset({'yogurt', 'kidney beans', 'milk', 'onion', 'nutmeg'})",5
147,0.2,"frozenset({'yogurt', 'kidney beans', 'eggs', 'onion', 'dill', 'nutmeg'})",6
148,0.2,"frozenset({'yogurt', 'kidney beans', 'milk', 'onion', 'eggs', 'nutmeg'})",6
